Date,Adj Close,Close,High,Low,Open,Volume,Date
1994-03-07,26.858787536621094,46.9375,47.0,46.84375,46.84375,539800,1994-03-07
1994-03-08,26.75149917602539,46.75,46.96875,46.6875,46.96875,880300,1994-03-08
1994-03-09,26.876680374145508,46.96875,47.0,46.59375,46.8125,2500100,1994-03-09
1994-03-10,26.662090301513672,46.59375,46.9375,46.4375,46.9375,207400,1994-03-10
1994-03-11,26.805143356323242,46.84375,46.90625,46.40625,46.65625,576600,1994-03-11
1994-03-14,26.84090232849121,46.90625,47.03125,46.84375,47.03125,345900,1994-03-14
1994-03-15,26.823022842407227,46.875,47.09375,46.84375,47.0,748600,1994-03-15
1994-03-16,27.037607192993164,47.25,47.25,46.78125,46.9375,455500,1994-03-16
1994-03-17,27.037607192993164,47.25,47.3125,47.09375,47.09375,133000,1994-03-17
1994-03-18,27.031721115112305,46.96875,47.03125,46.71875,46.75,365500,1994-03-18
1994-03-21,26.959766387939453,46.84375,46.9375,46.71875,46.8125,324800,1994-03-21
1994-03-22,27.031721115112305,46.96875,47.0625,46.75,46.84375,435700,1994-03-22
1994-03-23,27.01372528076172,46.9375,47.0625,46.90625,46.9375,698500,1994-03-23
1994-03-24,26.69001007080078,46.375,46.84375,46.15625,46.75,1200500,1994-03-24
1994-03-25,26.438209533691406,45.9375,46.53125,45.9375,46.40625,100900,1994-03-25
1994-03-28,26.474164962768555,46.0,46.0625,45.59375,46.0,1117200,1994-03-28
1994-03-29,25.952592849731445,45.09375,46.03125,45.09375,46.0,338400,1994-03-29
1994-03-30,25.592885971069336,44.46875,45.25,44.46875,45.125,1123900,1994-03-30
1994-03-31,25.664857864379883,44.59375,44.6875,43.53125,44.46875,788800,1994-03-31
1994-04-04,25.269163131713867,43.90625,44.03125,43.34375,43.34375,2627300,1994-04-04
1994-04-05,25.790740966796875,44.8125,44.8125,44.34375,44.34375,1179000,1994-04-05
1994-04-06,25.790740966796875,44.8125,44.90625,44.5,44.875,516500,1994-04-06
1994-04-07,25.916629791259766,45.03125,45.125,44.53125,44.78125,666100,1994-04-07
1994-04-08,25.718807220458984,44.6875,44.9375,44.46875,44.9375,242400,1994-04-08
1994-04-11,25.826702117919922,44.875,45.0625,44.703125,44.8125,203300,1994-04-11
1994-04-12,25.790740966796875,44.8125,45.0,44.71875,44.921875,1409200,1994-04-12
1994-04-13,25.65584373474121,44.578125,44.90625,44.25,44.796875,364100,1994-04-13
1994-04-14,25.664857864379883,44.59375,44.828125,44.40625,44.5,419900,1994-04-14
1994-04-15,25.664857864379883,44.59375,44.78125,44.515625,44.578125,387300,1994-04-15
1994-04-18,25.493989944458008,44.296875,44.765625,44.15625,44.640625,369100,1994-04-18
1994-04-19,25.52994155883789,44.359375,44.53125,43.984375,44.25,472200,1994-04-19
1994-04-20,25.50298309326172,44.3125,44.515625,44.078125,44.40625,508000,1994-04-20
1994-04-21,25.84469985961914,44.90625,44.96875,44.34375,44.5,200300,1994-04-21
1994-04-22,25.817705154418945,44.859375,45.046875,44.734375,45.015625,301800,1994-04-22
1994-04-25,26.087493896484375,45.328125,45.359375,44.84375,44.84375,394600,1994-04-25
1994-04-26,26.06050682067871,45.28125,45.34375,45.1875,45.265625,399000,1994-04-26
1994-04-28,25.87166976928711,44.953125,45.25,44.8125,45.1875,287000,1994-04-28
1994-04-29,25.952592849731445,45.09375,45.15625,44.8125,44.875,481900,1994-04-29
1994-05-02,26.114473342895508,45.375,45.71875,44.9375,45.09375,275000,1994-05-02
1994-05-03,26.087493896484375,45.328125,45.40625,45.0625,45.390625,183400,1994-05-03
1994-05-04,26.042531967163086,45.25,45.421875,45.078125,45.421875,401900,1994-05-04
1994-05-05,26.006567001342773,45.1875,45.375,45.1875,45.296875,659800,1994-05-05
1994-05-06,25.754762649536133,44.75,44.96875,44.59375,44.96875,216300,1994-05-06
1994-05-09,25.52994155883789,44.359375,44.75,44.28125,44.625,499300,1994-05-09
1994-05-10,25.727779388427734,44.703125,44.84375,44.546875,44.578125,583400,1994-05-10
1994-05-11,25.493989944458008,44.296875,44.71875,44.171875,44.65625,210600,1994-05-11
1994-05-12,25.619874954223633,44.515625,44.625,44.40625,44.578125,305200,1994-05-12
1994-05-13,25.619874954223633,44.515625,44.640625,44.296875,44.640625,321300,1994-05-13
1994-05-16,25.62888526916504,44.53125,44.75,44.515625,44.609375,450400,1994-05-16
1994-05-17,26.006567001342773,45.1875,45.1875,44.5,44.5625,470200,1994-05-17
1994-05-18,26.195398330688477,45.515625,45.6875,45.015625,45.21875,824800,1994-05-18
1994-05-19,26.321300506591797,45.734375,45.859375,45.421875,45.421875,531000,1994-05-19
1994-05-20,26.22237777709961,45.5625,45.6875,45.5,45.65625,370400,1994-05-20
1994-05-23,26.17742156982422,45.484375,45.53125,45.34375,45.515625,262700,1994-05-23
1994-05-24,26.285310745239258,45.671875,45.84375,45.609375,45.609375,549600,1994-05-24
1994-05-25,26.357257843017578,45.796875,45.828125,45.34375,45.5,738200,1994-05-25
1994-05-26,26.375259399414062,45.828125,45.9375,45.734375,45.78125,369600,1994-05-26
1994-05-27,26.402225494384766,45.875,45.875,45.671875,45.75,162000,1994-05-27
1994-05-31,26.36626625061035,45.8125,45.90625,45.65625,45.734375,160000,1994-05-31
1994-06-01,26.483165740966797,46.015625,46.015625,45.5625,45.703125,200500,1994-06-01
1994-06-02,26.456192016601562,45.96875,46.046875,45.890625,46.046875,55100,1994-06-02
1994-06-03,26.609050750732422,46.234375,46.390625,45.859375,46.0,550400,1994-06-03
1994-06-06,26.60008430480957,46.21875,46.46875,46.1875,46.328125,99300,1994-06-06
1994-06-07,26.56409454345703,46.15625,46.21875,46.03125,46.140625,120600,1994-06-07
1994-06-08,26.348278045654297,45.78125,46.265625,45.78125,46.265625,131900,1994-06-08
1994-06-09,26.49216651916504,46.03125,46.03125,45.890625,45.984375,80500,1994-06-09
1994-06-10,26.537113189697266,46.109375,46.203125,46.078125,46.078125,83100,1994-06-10
1994-06-13,26.573091506958008,46.171875,46.1875,46.03125,46.046875,109700,1994-06-13
1994-06-14,26.7799072265625,46.53125,46.546875,46.3125,46.3125,161000,1994-06-14
1994-06-15,26.672008514404297,46.34375,46.5625,46.3125,46.546875,142800,1994-06-15
1994-06-16,26.725967407226562,46.4375,46.46875,46.296875,46.34375,44000,1994-06-16
1994-06-17,26.5767822265625,45.875,46.203125,45.8125,46.15625,403800,1994-06-17
1994-06-20,26.350488662719727,45.484375,45.625,45.4375,45.546875,137400,1994-06-20
1994-06-21,26.124177932739258,45.09375,45.453125,44.90625,45.453125,139200,1994-06-21
