Date,Adj_Close_SPY,Close_SPY,High_SPY,Low_SPY,Open_SPY,Volume_SPY
2014-01-02,150.28353881835938,182.9199981689453,184.07000732421875,182.47999572753906,183.97999572753906,119636900
2014-01-03,150.2589111328125,182.88999938964844,183.60000610351562,182.6300048828125,183.22999572753906,81390600
2014-01-06,149.82347106933594,182.36000061035156,183.55999755859375,182.0800018310547,183.49000549316406,108028200
2014-01-07,150.74363708496094,183.47999572753906,183.7899932861328,182.9499969482422,183.08999633789062,86144200
2014-01-08,150.77650451660156,183.52000427246094,183.8300018310547,182.88999938964844,183.4499969482422,96582300
2014-01-09,150.8750762939453,183.63999938964844,184.1300048828125,182.8000030517578,184.11000061035156,90683400
2014-01-10,151.28587341308594,184.13999938964844,184.22000122070312,183.00999450683594,183.9499969482422,102026400
2014-01-13,149.27297973632812,181.69000244140625,184.17999267578125,181.33999633789062,183.6699981689453,149892000
2014-01-14,150.8997344970703,183.6699981689453,183.77000427246094,181.9499969482422,182.2899932861328,105016100
2014-01-15,151.71304321289062,184.66000366210938,184.94000244140625,183.7100067138672,184.10000610351562,98525800
2014-01-16,151.51588439941406,184.4199981689453,184.66000366210938,183.8300018310547,184.27999877929688,72290600
2014-01-17,150.8750762939453,183.63999938964844,184.4499969482422,183.32000732421875,184.10000610351562,107848700
2014-01-21,151.3186798095703,184.17999267578125,184.77000427246094,183.0500030517578,184.6999969482422,88621200
2014-01-22,151.4173126220703,184.3000030517578,184.57000732421875,183.91000366210938,184.49000549316406,61270900
2014-01-23,150.17666625976562,182.7899932861328,183.39999389648438,181.82000732421875,183.3699951171875,132496900
2014-01-24,146.97256469726562,178.88999938964844,181.66000366210938,178.8300018310547,181.60000610351562,208677100
2014-01-27,146.24957275390625,178.00999450683594,179.52000427246094,177.1199951171875,179.05999755859375,180843100
2014-01-28,147.12046813964844,179.07000732421875,179.3000030517578,178.1199951171875,178.13999938964844,110463200
2014-01-29,145.70736694335938,177.35000610351562,178.5500030517578,176.8800048828125,177.5800018310547,216597300
2014-01-30,147.2519073486328,179.22999572753906,179.80999755859375,178.25999450683594,178.8300018310547,118938100
2014-01-31,146.38925170898438,178.17999267578125,179.2899932861328,176.9199981689453,177.00999450683594,194677900
2014-02-03,143.09469604492188,174.1699981689453,178.3699951171875,173.8300018310547,177.97000122070312,254837100
2014-02-04,144.0970458984375,175.38999938964844,175.83999633789062,174.11000061035156,174.9499969482422,165012400
2014-02-05,143.916259765625,175.1699981689453,175.55999755859375,173.7100067138672,174.77999877929688,164230500
2014-02-06,145.81414794921875,177.47999572753906,177.47999572753906,175.22000122070312,175.5800018310547,132877600
2014-02-07,147.62159729003906,179.67999267578125,179.8699951171875,177.72999572753906,178.30999755859375,170787200
2014-02-10,147.89271545410156,180.00999450683594,180.07000732421875,179.2100067138672,179.6999969482422,92218800
2014-02-11,149.51124572753906,181.97999572753906,182.44000244140625,180.0399932861328,180.16000366210938,117814100
2014-02-12,149.58518981933594,182.07000732421875,182.8300018310547,181.7100067138672,182.25,94717700
2014-02-13,150.357421875,183.00999450683594,183.1999969482422,180.8300018310547,180.83999633789062,100542200
2014-02-14,151.18728637695312,184.02000427246094,184.36000061035156,182.6699981689453,182.83999633789062,96498400
2014-02-18,151.3680419921875,184.24000549316406,184.49000549316406,183.64999389648438,184.17999267578125,80460900
